T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
30.3,38.3,25,25,0,3.9,7,18.3,84.5
29.4,37.6,23.4,28,0,3.5,6.1,14.8,46.916666666666664
30.2,37.9,22.4,22,0,3.9,7.4,18.3,110.875
30.2,38,22.4,22,0,4.2,8.9,20.6,42.958333333333336
26.3,38,20.2,42,4.06,3.5,13,20.6,0.0
29.7,38.4,24.6,40,2.03,3.9,7.4,29.4,120.875
31.9,38.7,23.9,33,0,4.7,9.1,16.5,79.91666666666667
32.3,39.2,25.6,28,0,4,9.1,20.6,0.0
32.2,39.4,27,9,0,4.7,10,24.1,94.75
31.4,38.8,23.9,10,0,4.7,8.9,22.2,142.5
31.1,39.4,22.2,14,0,4.2,5,18.3,133.375
35.2,41.8,27,14,0,4,6.1,14.8,147.83333333333334
35.3,42.9,26.3,15,0,4.7,10.7,20.6,158.29166666666666
34.2,42.9,28.8,16,0,4.8,11.7,18.3,149.58333333333334
31.8,38.7,23,32,0,4.3,5.6,13,101.5
34.1,41.1,25.5,21,0,4,6.9,20.6,106.5
33.9,41.1,27,23,0,3.7,11.3,31.3,128.125
37.4,44.6,31.8,11,0,4.2,13,22.2,101.95833333333333
37.2,44.6,31,13,0,4.2,13.5,25.9,98.41666666666667
36.8,44.2,31,12,0,4.2,14.1,22.2,94.375
36.4,44.4,31,22,0,4,19.3,35.2,107.625
35.4,43.4,30,27,0,4.3,16.5,27.8,110.41666666666667
35.9,41.8,31.4,28,0,4,14.3,25.9,95.83333333333333
35.9,42.7,27.9,15,0,4,10.9,16.5,72.25
34.6,42.7,28,32,0,3.9,13.3,22.2,38.666666666666664
34.8,41.7,28,34,0,4,9.4,18.3,45.375
34.7,43.1,29.1,35,5.08,3.5,10,18.3,65.16666666666667
33.6,43.9,24.6,44,11.94,3.5,10.7,20.6,66.08333333333333
33.8,42.3,29,44,0,3.2,11.9,29.4,77.66666666666667
33.1,42.3,25.6,49,7.87,3.7,14.8,24.1,70.25
31.2,36,27,67,0,3.4,9.8,22.2,56.291666666666664
30.6,37,26.6,64,8.89,3.5,14.6,20.6,77.0
31.7,37,28,58,0,4,18.9,25.9,32.958333333333336
31.3,38,24,54,3.05,3.2,4.1,11.1,80.625
31.6,39.1,23,58,0,3.1,10.6,22.2,90.70833333333333
34.4,39.1,23.7,43,0,3.7,16.1,20.6,97.29166666666667
32.4,40.8,25.6,56,0.25,3.4,11.5,20.6,50.708333333333336
29.7,40,22.6,70,62.99,3.1,11.5,22.2,40.375
31.4,38.2,25.4,65,12.95,3.7,12.2,24.1,49.416666666666664
31.3,39.4,26,59,7.87,3.2,10.6,38.9,61.875
29.5,39.3,24.4,71,2.03,3.9,4.8,11.1,0.0
28.5,35.8,26,79,3.05,3.4,8.7,18.3,29.666666666666668
26.5,35,24,90,0.51,2.7,9.8,27.8,43.666666666666664
28.2,33.9,23.5,87,19.05,3.1,9.6,18.3,29.833333333333332
30.2,34.2,26.8,77,0,3.5,10.6,18.3,35.208333333333336
28.2,34.2,26,88,2.03,3.1,7.4,18.3,37.625
26.9,33.1,25,91,28.96,2.4,8,18.3,41.458333333333336
26.3,34.4,23,95,20.07,2.1,4.8,14.8,36.0
28.1,32,25.6,87,12.95,2.7,7.4,14.8,70.58333333333333
29,35.2,26,83,0.76,3.2,7.6,13,33.166666666666664
27.4,33.8,25.6,85,0.76,2.9,8,25.9,38.25
27.1,33.6,25.9,92,2.03,2.4,6.1,14.8,26.583333333333332
27.5,33.9,24.8,91,0,2.6,4.1,13,15.416666666666666
28.9,32.1,26.2,84,10.92,2.9,8.3,18.3,41.375
28.9,32.7,26.6,83,0,3.1,14.1,20.6,25.541666666666668
27.5,32.7,25.9,90,7.87,2.9,7.8,18.3,28.375
27.2,32,25,89,14.99,3.1,7.4,18.3,50.333333333333336
27.3,32,24.8,89,0.25,3.2,11.1,20.6,35.375
25.9,31.5,25,95,21.08,2.7,6.7,16.5,31.916666666666668
27.6,31.6,25,90,4.06,3.4,11.3,16.5,35.291666666666664
26.5,31.6,25,96,12.95,2.3,4.6,16.5,26.833333333333332
27.4,33.6,25,92,7.11,2.4,4.4,14.8,21.125
26.6,33.8,24.2,90,39.12,2.9,8.1,16.5,35.708333333333336
25.8,31,24,91,17.02,2.7,6.7,13,43.583333333333336
26.4,29.8,23.8,90,14.99,3.2,8.7,18.3,46.041666666666664
29.1,34.7,26,82,0,3.1,4.8,25.9,82.875
29.8,35.4,25.7,77,28.96,3.4,13.7,18.3,64.91666666666667
28.4,35.6,25,75,0,4,13.5,20.6,30.666666666666668
28.3,36.4,25,70,0,4,9.6,14.8,34.416666666666664
30.7,36.8,25.2,62,0,3.7,10.4,13,33.166666666666664
29.3,36.8,24.4,63,0,4,11.5,20.6,30.625
28.6,37.2,24,64,0,3.9,10.6,18.3,30.333333333333332
29.1,36.6,23,54,0,4.2,4.6,14.8,0.0
29.9,36.8,25,52,0,4.3,4.1,11.1,0.0
29.9,36.8,24.8,54,0,4.2,3.3,13,0.0
29.4,38,26,63,0.25,3.2,2,16.5,76.875
30.9,37.5,26,54,0,3.9,2.4,11.1,83.45833333333333
30.7,38,22,56,0,3.5,4.8,20.6,71.66666666666667
30.6,37.4,24,44,0,3.4,6.3,16.5,69.70833333333333
28,37.2,24.8,69,0,4,11.9,20.6,62.375
27.2,35.1,24.8,79,0,3.5,14.3,20.6,24.875
28,33.1,25,76,0,3.9,6.3,13,43.958333333333336
28.6,33.6,22.4,68,0,4.2,7.6,14.8,41.5
28.5,35,24,62,0,4,9.6,16.5,38.791666666666664
27.5,31,24.3,76,0,3.5,11.9,18.3,30.333333333333332
27.6,31.3,24.5,73,0,3.5,10.7,16.5,26.666666666666668
25.8,31.3,23,73,0,3.5,14.1,22.2,29.0
28.1,34,24,70,0,3.1,3.3,14.8,61.708333333333336
28.3,34,24.8,68,0,3.4,8.3,14.8,60.541666666666664
27.8,33.4,24,69,0,3.2,10.6,18.3,41.583333333333336
26.4,31.2,22,76,0,3.2,4.1,11.1,80.04166666666667
27,34,23,71,0,3.4,3.7,13,82.83333333333333
27.3,34.6,22,59,0,2.7,2.2,11.1,95.25
27.4,35.3,21.4,46,0,3.1,2.4,11.1,126.16666666666667
25.8,34.2,19,42,0,2.9,3,9.4,136.70833333333334
25.4,34.2,19,36,0,2.9,3.1,11.1,160.66666666666666
25.5,31.8,20.8,48,0,2.4,4.1,14.8,245.66666666666666
24.9,32,20,42,0,2.3,5.7,11.1,261.6666666666667
23.5,32,18,43,0,2.1,3,11.1,272.4166666666667
24.8,34,19,47,0,2.4,2.8,11.1,149.625
25.5,32.8,18.6,41,0,2.7,6.9,18.3,99.70833333333333
22.7,32.8,15,42,0,1.4,4.3,13,217.375
21.8,29.8,14,36,0,1.9,2,9.4,309.375
20.9,29.7,17.8,59,0,1.6,13.1,25.9,321.5416666666667
20,25.2,15,67,0.76,2.1,7.4,14.8,278.0
20.4,27.1,14.6,58,2.03,2.4,5.4,13,192.33333333333334
19.3,27.6,12,38,0,2.4,4.1,11.1,224.16666666666666
18.5,27.2,11,35,0,2.3,3.5,13,196.75
18.9,27.1,11,38,0,2.4,3,11.1,221.54166666666666
19.6,29,11.5,35,0,2.9,3.7,13,166.70833333333334
20.9,30,11.8,35,0,2.7,4.1,13,130.70833333333334
21.2,30.1,11.8,36,0,2.9,3.5,9.4,194.70833333333334
20.4,30.2,12.9,43,0,2.1,3.1,11.1,134.45833333333334
21.8,30.2,13.2,37,0,2.4,4.8,13,110.0
21.7,31,13.1,39,0,2.6,2.6,9.4,160.0
19.5,28.7,10.9,37,0,2.7,2.4,9.4,118.91666666666667
19.3,28.7,10.6,37,0,2.7,2.8,9.4,176.375
20.1,28.6,11.9,44,0,2.9,5.2,11.1,185.95833333333334
18.3,27.7,9.7,46,0,2.4,2.2,9.4,239.125
18.6,28.5,11.4,49,0,2.3,1.9,9.4,365.2916666666667
18.9,28.7,11.2,49,0,2.6,2.2,9.4,312.2083333333333
19.6,27,13.1,45,0,2.6,7.8,20.6,121.33333333333333
19.3,28.7,14,48,0,2.4,7.2,16.5,202.875
19.1,28.9,11.8,48,0,2.6,3.7,11.1,260.1666666666667
16.9,27.8,12.2,62,0,2.6,6.9,14.8,277.7083333333333
15.3,24.5,12,82,0,1.6,6.3,13,284.1666666666667
14.4,19.9,11.2,82,0,1.1,8.3,13,288.4166666666667
13.7,23.6,7.5,44,0,2.7,3,7.6,166.91666666666666
15.6,23.6,7.4,38,0,3.2,8.1,14.8,169.0
13.7,22.6,8,44,0,3.2,7.2,16.5,186.04166666666666
13.4,18,10.2,84,0,1.1,7.8,13
