T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
26.8,34,21,33,0,2.4,7.4,13,119.41666666666667
26.3,33.9,20.7,35,0,2.4,8,16.5,126.0
25.6,32.3,19.3,38,0,2.3,3.3,9.4,232.33333333333334
25.5,32,17.1,38,0,2.1,2.2,9.4,215.54166666666666
25.7,33,18.3,36,0,2.4,2.8,9.4,239.41666666666666
26.7,32.8,19,35,0,2.4,4.1,13,196.54166666666666
21.6,29,12.1,25,0,2.7,1.1,7.6,232.54166666666666
21.7,29.4,13.4,27,0,2.3,1.9,9.4,185.5
22.3,30.6,13.7,32,0,2.1,1.7,7.6,282.1666666666667
25.3,33,17.1,39,0,2.3,4.6,11.1,257.6666666666667
23.9,32.8,18.9,50,0,2.3,5.4,18.3,166.875
23.3,30,16,41,0,1.6,7.4,14.8,135.16666666666666
21.7,29,14.1,37,0,2.6,3.5,11.1,135.58333333333334
22.4,29.4,13.6,35,0,2.7,3.1,9.4,152.04166666666666
21.1,30.2,15,46,0,2.3,6.9,13,141.41666666666666
19.6,27.6,12.6,42,0,2.4,1.7,9.4,46.708333333333336
19.2,27.6,11.2,43,0,2.6,2,7.6,91.75
19.2,26.6,11.1,43,0,2.6,2.4,9.4,99.91666666666667
18.5,26.4,10.1,42,0,2.6,4.3,7.6,119.70833333333333
18.3,25.8,11,44,0,2.6,4.4,9.4,110.875
18.3,26,10.1,44,0,2.4,4.4,9.4,200.33333333333334
15.4,22.2,10.6,69,0,1.9,3.5,11.1,203.58333333333334
15.6,21,9.6,50,0,2.4,4.8,11.1,25.083333333333332
15.2,21.2,8.5,47,0,2.3,5,11.1,57.083333333333336
16.1,24,7.1,37,0,2.3,1.1,5.4,349.2916666666667
16.2,24.8,7.6,43,0,2.4,1.7,7.6,188.04166666666666
15.9,25,7.5,45,0,2.4,2.2,9.4,310.25
16.2,23.6,10,37,0,2.3,4.3,9.4,204.375
14.4,23.5,7.4,39,0,2.1,2.6,9.4,223.25
14.6,22,7.1,35,0,2.3,7.8,18.3,248.95833333333334
16.1,24,5.6,39,0,2.3,3,11.1
